vlag	nederlands	engels
	Hoeveel snaren heeft een klassieke Japanse koto?	How many strings does a classic Japanese koto have?
GEEN	Hoeveel meter hoog is Mount Kenya?	
	Hoeveel ml bevat een standaard Nederlandse borrelglas jenever?	How many ml does a standard Dutch gin glass contain?
	Hoeveel landen zijn lid van de Europese Unie (2024)?	How many countries are members of the European Union (2024)?
	Hoeveel nummers staan er op het album Thriller van Michael Jackson?	How many songs are on Michael Jackson's album Thriller?
	Hoeveel eilanden telt de Filipijnen officieel (volgens NAMRIA)?	How many islands do the Philippines officially have (according to NAMRIA)?
GEEN	Hoeveel studioalbums bracht Kylie Minogue uit?	
	Hoeveel jaar zat Nelson Mandela gevangen?	How many years was Nelson Mandela in prison?
	Hoeveel landen grenzen aan Honduras?	How many countries border Honduras?
	Wat is de geschatte leeftijd van de planeet Aarde in miljoenen jaren?	What is the estimated age of planet Earth in millions of years?
	Hoeveel keer won Brazilië de FIFA World Cup voetbal bij de mannen (2024)?	How many times did Brazil win the FIFA World Cup football in the men (2024)?
	Hoeveel landen worden door de evenaar doorkruist?	How many countries are crossed by the equator?
	Hoeveel keer was Brazilië gastheer van de FIFA World Cup?	How many times was Brazil host to the FIFA World Cup?
GEEN	Wat is de diameter van de Aarde over de evenaar in kilometers?	
GEEN	Hoeveel meter diep is de Challengerdiepte in de Marianentrog?	
	Hoeveel planeten staan dichter bij de zon dan de aarde?	How many planets are closer to the Sun than Earth?
	Hoeveel vleugels heeft een passagiersvliegtuig?	How many wings does a passenger plane have?
	Hoeveel zuilen heeft het Rijksmuseum aan de voorgevel?	How many columns does the Rijksmuseum have on the facade?
	Wat is de hoogte van de Mont Blanc in de Alpen in meters?	What is the altitude of Mont Blanc in the Alps in meters?
	Hoeveel meter per seconde meet een wind van windkracht 5?	How many meters per second does a wind of wind force 5 measure?
GEEN	Hoeveel duizend vierkante kilometer groot is Australië?	
	Hoeveel themaparken telt Walt Disney World in Florida?	How many theme parks does Walt Disney World have in Florida?
GEEN	Hoeveel schaatsbanen van 400 meter telt Nederland?	
	Hoeveel James Bond films met Daniel Craig verschenen er?	How many James Bond films with Daniel Craig appeared?
GEEN	In welk jaar werd de Amerikaanse Onafhankelijkheidsverklaring ondertekend?	
GEEN	Hoeveel meter hoog is de Kilimanjaro?	
	Hoeveel punten levert een touchdown zonder extra point op?	How many points does a touchdown get without an extra point?
	Hoeveel schepen vertrokken met Christoffel Columbus bij zijn eerste reis in 1492?	How many ships left with Christopher Columbus on his first voyage in 1492?
	Hoeveel dansstijlen worden er klassiek onderscheiden in de Cubaanse rumba-familie (drie hoofdstijlen)?	How many dance styles are classically distinguished in the Cuban rumba family (three main styles)?
	Hoeveel pogingen heeft een gewichtheffer per discipline?	How many attempts does a weightlifter have per discipline?
	Hoeveel meter lang was de langste trouwjurkstaart volgens Guinness World Records?	How many meters long was the longest wedding dress tail according to Guinness World Records?
	Hoeveel meter hoog is het hoogste punt van het Millauviaduct?	How many meters high is the highest point of the Millauviaduct?
GEEN	Hoeveel meter hoog is de Aconcagua?	
	Hoeveel van de Grote Meren liggen in de VS en Canada samen?	How many of the Great Lakes are in the US and Canada together?
GEEN	Hoeveel meter hoog is Mount Everest?	
GEEN	Hoeveel vierkante kilometer is de oppervlakte van het Baikalmeer ongeveer?	
GEEN	Wat is de omtrek van de Aarde rond de evenaar in kilometers?	
GEEN	Hoeveel kilometer lang is de evenaar ongeveer?	
GEEN	Hoeveel miljoen inwoners heeft Chili?	
GEEN	Hoeveel McDonald’s-restaurants waren er wereldwijd aan het einde van 2023?	
	Hoeveel landen gebruiken de euro als officiële munt?	How many countries use the euro as an official currency?
GEEN	Hoeveel kilometer lang is de Kongo?	
	Hoeveel landen grenzen aan Kameroen?	How many countries border Cameroon?
	Hoeveel keer per dag bidden moslims volgens de vijf pilaren van de islam?	How many times a day do Muslims pray according to the five pillars of Islam?
	Hoeveel eilanden vormen Indonesië volgens de officiële telling?	How many islands form Indonesia according to the official count?
	In welk year ontdekte Columbus Amerika (de eerste reis)?	In which year did Columbus discover America (the first trip)?
	Hoeveel klokken hangen er in het carillon van de Utrechtse Domtoren?	How many bells are in the carillon of the Utrecht Cathedral?
GEEN	Hoeveel kilometer lang was Route 66?	
	Hoeveel spelers zitten er in een Nederlands korfbalteam op het veld?	How many players are on a Dutch basketball team on the field?
GEEN	Hoeveel landen gebruiken de West-Afrikaanse CFA-frank?	
	Hoe zwaar was de grootste kaas ooit gemaakt in kilogram?	How heavy was the biggest cheese ever made in kilograms?
GEEN	Hoeveel vierkante kilometer is het Victoriameer ongeveer?	
	Hoeveel knopen heeft een standaard overhemd meestal aan de voorkant?	How many buttons does a standard shirt usually have in front?
	Hoeveel Eurovision Songfestivals won Ierland (2024 stand)?	How many Eurovision Song Festivals won Ireland (2024 stand)?
	Hoeveel karaat is puur goud?	How much carat is pure gold?
	Hoeveel dagen duurt de Nederlands Film Festival in Utrecht?	How many days does the Dutch Film Festival in Utrecht last?
GEEN	Hoeveel kilometer lang is de kustlijn van Canada ongeveer?	
GEEN	Hoeveel meter is een marathon exact?	
	Hoeveel Spaceshuttles bouwde NASA totaal voor orbitale vluchten?	How many Space Shuttles did NASA build for orbital flights?
GEEN	Hoeveel miljoen gnoes trekken mee in de Grote Migratie van de Serengeti?	
	Hoeveel landen grenzen aan Nederland?	How many countries border the Netherlands?
	Hoeveel graden Celsius kookt water op zeeniveau?	How many degrees Celsius boils water at sea level?
	Hoeveel studioalbums bracht Taylor Swift uit tot 2024?	How many studio albums did Taylor Swift release until 2024?
	Hoeveel kilometer lang is de Grote Muur van China ongeveer?	How many kilometers long is the Great Wall of China about?
GEEN	Wat is de exacte afstand van een marathonwedstrijd in meters?	
	Hoeveel bits bevat één byte?	How many bits does one byte contain?
	Hoeveel Wonderen van de Oude Wereld lagen in Azië of Noord-Afrika samen?	How many wonders of the Old World were in Asia or North Africa together?
	Hoe lang was de langste baard ooit in meters?	How long was the longest beard ever in metres?
	Hoeveel miljard kilometer legt licht af in één lichtjaar, afgerond?	How many billion kilometers goes light in one light year, rounded?
GEEN	Hoeveel liter olijfolie gebruikt een Griek per jaar?	
GEEN	Hoeveel kilometer is de diameter van Jupiter ongeveer?	
	Wat is het atoomnummer van zuurstof?	What's the atomic number of oxygen?
GEEN	Hoeveel kilometer lang is de Grote Muur van China volgens de officiële meting?	
	Hoeveel Copa América titels won Argentinië tot 2024?	How many Copa América titles did Argentina win until 2024?
	Hoeveel mensen namen deel aan de grootste massale yogales?	How many people participated in the largest mass yoga class?
	Hoeveel advocaten-generaal heeft het Hof van Justitie van de Europese Unie?	How many Advocates-General has the Court of Justice of the European Union?
	Hoeveel miljoen toeristen bezoekt Amsterdam jaarlijks ongeveer?	How many million tourists visit Amsterdam every year?
	Hoeveel spelers heeft een hockeyteam op het veld per ploeg?	How many players does a field hockey team have per team?
	Hoeveel spelers staan er per team op het veld bij American football?	How many players per team are on the field at American football?
GEEN	Hoeveel landen hebben grondgebied in de Sahara?	
	Wat is de gemiddelde afstand van de aarde tot de maan?	What is the average distance from the Earth to the Moon?
	Hoeveel dollarcent zit er in één Amerikaanse dollar?	How much dollar cents is in one American dollar?
	Wat is de baansnelheid van het ISS ruimtestation in kilometer per uur?	What is the orbital speed of the ISS space station in kilometres per hour?
	Hoeveel procent bedraagt het standaard-btw-tarief in Duitsland?	How much is the standard VAT rate in Germany?
	Hoeveel Hollandse waterlijnen kent de oude Nederlandsche Waterlinie?	How many Dutch water lines does the old Dutch Waterline know?
	Hoeveel minuten officiële speeltijd heeft een rugbyunionwedstrijd?	How many minutes of official playing time does a rugbyunion match?
GEEN	Wat is het grootste binnenlandse waterlichaam ter wereld naar oppervlakte?	
	Hoeveel landen ondertekenden oorspronkelijk het Handvest van de Verenigde Naties?	How many countries originally signed the United Nations Charter?
	Hoeveel sterren staan er op de vlag van de Verenigde Staten?	How many stars are on the flag of the United States?
	Hoeveel polders telt Flevoland in de klassieke indeling?	How many polders does Flevoland have in the classic classification?
	Hoeveel nummer 1-hits had The Beatles in de Billboard Hot 100?	How many songs did The Beatles have in the Billboard Hot 100?
	Hoeveel kilometer fietst een Nederlander gemiddeld per jaar?	How many kilometres does a Dutchman cycle on average per year?
	Hoeveel spelers staan er op het ijs bij ijshockey (beide teams inclusief keepers)?	How many players are on the ice at hockey (both teams including goalkeepers)?
